
[AE] epoch: 52/150(34.67%), time: 0:03:49, loss: 0.04609420751950827, best epoch: 51, best loss: 0.046062355973275314
[AE] epoch: 53/150(35.33%), time: 0:03:52, loss: 0.04591777094875474, best epoch: 53, best loss: 0.04591777094875474
[AE] epoch: 54/150(36.00%), time: 0:03:55, loss: 0.04556183817695422, best epoch: 54, best loss: 0.04556183817695422
[AE] epoch: 55/150(36.67%), time: 0:03:58, loss: 0.0453794306839805, best epoch: 55, best loss: 0.0453794306839805
[AE] epoch: 56/150(37.33%), time: 0:04:01, loss: 0.045100526502692556, best epoch: 56, best loss: 0.045100526502692556
[AE] epoch: 57/150(38.00%), time: 0:04:04, loss: 0.044502515749758983, best epoch: 57, best loss: 0.044502515749758983
[AE] epoch: 58/150(38.67%), time: 0:04:07, loss: 0.04449587640722832, best epoch: 58, best loss: 0.04449587640722832
[AE] epoch: 59/150(39.33%), time: 0:04:10, loss: 0.044075444834419046, best epoch: 59, best loss: 0.044075444834419046
[AE] epoch: 60/150(40.00%), time: 0:04:14, loss: 0.04403479536434254, best epoch: 60, best loss: 0.04403479536434254
[AE] epoch: 61/150(40.67%), time: 0:04:17, loss: 0.04356962888984077, best epoch: 61, best loss: 0.04356962888984077
[AE] epoch: 62/150(41.33%), time: 0:04:20, loss: 0.043628526245614134, best epoch: 61, best loss: 0.04356962888984077
[AE] epoch: 63/150(42.00%), time: 0:04:23, loss: 0.043227925268282376, best epoch: 63, best loss: 0.043227925268282376
[AE] epoch: 64/150(42.67%), time: 0:04:26, loss: 0.04315289675471294, best epoch: 64, best loss: 0.04315289675471294
[AE] epoch: 65/150(43.33%), time: 0:04:29, loss: 0.04266680682818574, best epoch: 65, best loss: 0.04266680682818574
[AE] epoch: 66/150(44.00%), time: 0:04:33, loss: 0.042518388345298995, best epoch: 66, best loss: 0.042518388345298995
[AE] epoch: 67/150(44.67%), time: 0:04:35, loss: 0.042487588273473535, best epoch: 67, best loss: 0.042487588273473535
[AE] epoch: 68/150(45.33%), time: 0:04:38, loss: 0.04206304700977831, best epoch: 68, best loss: 0.04206304700977831
[AE] epoch: 69/150(46.00%), time: 0:04:42, loss: 0.04229235965534147, best epoch: 68, best loss: 0.04206304700977831
[AE] epoch: 70/150(46.67%), time: 0:04:45, loss: 0.04179134370242975, best epoch: 70, best loss: 0.04179134370242975
[AE] epoch: 71/150(47.33%), time: 0:04:48, loss: 0.04155441203031195, best epoch: 71, best loss: 0.04155441203031195
[AE] epoch: 72/150(48.00%), time: 0:04:51, loss: 0.04152967973825443, best epoch: 72, best loss: 0.04152967973825443
[AE] epoch: 73/150(48.67%), time: 0:04:54, loss: 0.04122196330902088, best epoch: 73, best loss: 0.04122196330902088
[AE] epoch: 74/150(49.33%), time: 0:04:57, loss: 0.04108263249228518, best epoch: 74, best loss: 0.04108263249228518
[AE] epoch: 75/150(50.00%), time: 0:05:00, loss: 0.0409294923834772, best epoch: 75, best loss: 0.0409294923834772
[AE] epoch: 76/150(50.67%), time: 0:05:03, loss: 0.040912511006715786, best epoch: 76, best loss: 0.040912511006715786
[AE] epoch: 77/150(51.33%), time: 0:05:07, loss: 0.04045095548303013, best epoch: 77, best loss: 0.04045095548303013
[AE] epoch: 78/150(52.00%), time: 0:05:10, loss: 0.04034238880926586, best epoch: 78, best loss: 0.04034238880926586
[AE] epoch: 79/150(52.67%), time: 0:05:13, loss: 0.04034533993486898, best epoch: 78, best loss: 0.04034238880926586
[AE] epoch: 80/150(53.33%), time: 0:05:15, loss: 0.039995957188398004, best epoch: 80, best loss: 0.039995957188398004
[AE] epoch: 81/150(54.00%), time: 0:05:18, loss: 0.039792455351316786, best epoch: 81, best loss: 0.039792455351316786
[AE] epoch: 82/150(54.67%), time: 0:05:22, loss: 0.03968343372086445, best epoch: 82, best loss: 0.03968343372086445
[AE] epoch: 83/150(55.33%), time: 0:05:24, loss: 0.039512871551405954, best epoch: 83, best loss: 0.039512871551405954
[AE] epoch: 84/150(56.00%), time: 0:05:28, loss: 0.03930348985974329, best epoch: 84, best loss: 0.03930348985974329
[AE] epoch: 85/150(56.67%), time: 0:05:31, loss: 0.03920374316982476, best epoch: 85, best loss: 0.03920374316982476
[AE] epoch: 86/150(57.33%), time: 0:05:34, loss: 0.039075323301984606, best epoch: 86, best loss: 0.039075323301984606
[AE] epoch: 87/150(58.00%), time: 0:05:37, loss: 0.03879558133432664, best epoch: 87, best loss: 0.03879558133432664
[AE] epoch: 88/150(58.67%), time: 0:05:40, loss: 0.0387394902217819, best epoch: 88, best loss: 0.0387394902217819
[AE] epoch: 89/150(59.33%), time: 0:05:43, loss: 0.03849747274295393, best epoch: 89, best loss: 0.03849747274295393
[AE] epoch: 90/150(60.00%), time: 0:05:46, loss: 0.03846745264817433, best epoch: 90, best loss: 0.03846745264817433
[AE] epoch: 91/150(60.67%), time: 0:05:49, loss: 0.03838463199425893, best epoch: 91, best loss: 0.03838463199425893
[AE] epoch: 92/150(61.33%), time: 0:05:52, loss: 0.03802603278982352, best epoch: 92, best loss: 0.03802603278982352
[AE] epoch: 93/150(62.00%), time: 0:05:55, loss: 0.037851851994553244, best epoch: 93, best loss: 0.037851851994553244
[AE] epoch: 94/150(62.67%), time: 0:05:58, loss: 0.03776890943836735, best epoch: 94, best loss: 0.03776890943836735
[AE] epoch: 95/150(63.33%), time: 0:06:01, loss: 0.03770343840391521, best epoch: 95, best loss: 0.03770343840391521
[AE] epoch: 96/150(64.00%), time: 0:06:04, loss: 0.03735516868890768, best epoch: 96, best loss: 0.03735516868890768
[AE] epoch: 97/150(64.67%), time: 0:06:07, loss: 0.03738707882991756, best epoch: 96, best loss: 0.03735516868890768
[AE] epoch: 98/150(65.33%), time: 0:06:10, loss: 0.03721982204770467, best epoch: 98, best loss: 0.03721982204770467
[AE] epoch: 99/150(66.00%), time: 0:06:14, loss: 0.03697994809193784, best epoch: 99, best loss: 0.03697994809193784
[AE] epoch: 100/150(66.67%), time: 0:06:17, loss: 0.03697589176695749, best epoch: 100, best loss: 0.03697589176695749
[AE] epoch: 101/150(67.33%), time: 0:06:20, loss: 0.03692739079874682, best epoch: 101, best loss: 0.03692739079874682
[AE] epoch: 102/150(68.00%), time: 0:06:23, loss: 0.036537614325622476, best epoch: 102, best loss: 0.036537614325622476
[AE] epoch: 103/150(68.67%), time: 0:06:26, loss: 0.03666907470359142, best epoch: 102, best loss: 0.036537614325622476
[AE] epoch: 104/150(69.33%), time: 0:06:30, loss: 0.036307102630296385, best epoch: 104, best loss: 0.036307102630296385
