"Step","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score__MIN","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score__MAX","CIFAR10-contraloss - IS score","CIFAR10-contraloss - IS score__MIN","CIFAR10-contraloss - IS score__MAX","CIFAR10-ourloss - IS score","CIFAR10-ourloss - IS score__MIN","CIFAR10-ourloss - IS score__MAX"
"2000","7.13466739654541","7.13466739654541","7.13466739654541","6.081667423248291","6.081667423248291","6.081667423248291","6.335416316986084","6.335416316986084","6.335416316986084"
"4000","7.88947868347168","7.88947868347168","7.88947868347168","6.740654468536377","6.740654468536377","6.740654468536377","6.901186943054199","6.901186943054199","6.901186943054199"
"6000","8.247261047363281","8.247261047363281","8.247261047363281","6.936600685119629","6.936600685119629","6.936600685119629","7.182868957519531","7.182868957519531","7.182868957519531"
"8000","8.259328842163086","8.259328842163086","8.259328842163086","7.116117000579834","7.116117000579834","7.116117000579834","7.279774188995361","7.279774188995361","7.279774188995361"
"10000","8.119540214538574","8.119540214538574","8.119540214538574","7.309126377105713","7.309126377105713","7.309126377105713","7.446169376373291","7.446169376373291","7.446169376373291"
"12000","8.105876922607422","8.105876922607422","8.105876922607422","7.51341438293457","7.51341438293457","7.51341438293457","7.533034324645996","7.533034324645996","7.533034324645996"
"14000","8.247814178466797","8.247814178466797","8.247814178466797","7.707623481750488","7.707623481750488","7.707623481750488","7.680552959442139","7.680552959442139","7.680552959442139"
"16000","8.321847915649414","8.321847915649414","8.321847915649414","7.910781383514404","7.910781383514404","7.910781383514404","7.815084934234619","7.815084934234619","7.815084934234619"
"18000","8.324660301208496","8.324660301208496","8.324660301208496","7.965904712677002","7.965904712677002","7.965904712677002","8.070507049560547","8.070507049560547","8.070507049560547"
"20000","8.416190147399902","8.416190147399902","8.416190147399902","8.172245979309082","8.172245979309082","8.172245979309082","8.189371109008789","8.189371109008789","8.189371109008789"
"22000","8.532896041870117","8.532896041870117","8.532896041870117","8.232075691223145","8.232075691223145","8.232075691223145","8.30256462097168","8.30256462097168","8.30256462097168"
"24000","8.587806701660156","8.587806701660156","8.587806701660156","8.322125434875488","8.322125434875488","8.322125434875488","8.397542953491211","8.397542953491211","8.397542953491211"
"26000","8.649505615234375","8.649505615234375","8.649505615234375","8.352815628051758","8.352815628051758","8.352815628051758","8.57363510131836","8.57363510131836","8.57363510131836"
"28000","8.702777862548828","8.702777862548828","8.702777862548828","8.488462448120117","8.488462448120117","8.488462448120117","8.696581840515137","8.696581840515137","8.696581840515137"
"30000","8.76244068145752","8.76244068145752","8.76244068145752","8.552433967590332","8.552433967590332","8.552433967590332","8.832067489624023","8.832067489624023","8.832067489624023"
"32000","8.90120792388916","8.90120792388916","8.90120792388916","8.596240997314453","8.596240997314453","8.596240997314453","8.864799499511719","8.864799499511719","8.864799499511719"
"34000","9.005925178527832","9.005925178527832","9.005925178527832","8.659685134887695","8.659685134887695","8.659685134887695","8.926998138427734","8.926998138427734","8.926998138427734"
"36000","9.086033821105957","9.086033821105957","9.086033821105957","8.671142578125","8.671142578125","8.671142578125","9.00322151184082","9.00322151184082","9.00322151184082"
"38000","9.051551818847656","9.051551818847656","9.051551818847656","8.726091384887695","8.726091384887695","8.726091384887695","9.091097831726074","9.091097831726074","9.091097831726074"
"40000","9.177509307861328","9.177509307861328","9.177509307861328","8.757906913757324","8.757906913757324","8.757906913757324","9.11081314086914","9.11081314086914","9.11081314086914"
"42000","9.333970069885254","9.333970069885254","9.333970069885254","8.815014839172363","8.815014839172363","8.815014839172363","9.208525657653809","9.208525657653809","9.208525657653809"
"44000","9.390109062194824","9.390109062194824","9.390109062194824","8.778800010681152","8.778800010681152","8.778800010681152","9.23470401763916","9.23470401763916","9.23470401763916"
"46000","9.412761688232422","9.412761688232422","9.412761688232422","8.865047454833984","8.865047454833984","8.865047454833984","9.207167625427246","9.207167625427246","9.207167625427246"
"48000","9.489697456359863","9.489697456359863","9.489697456359863","8.847135543823242","8.847135543823242","8.847135543823242","9.276205062866211","9.276205062866211","9.276205062866211"
"50000","9.549263000488281","9.549263000488281","9.549263000488281","8.927925109863281","8.927925109863281","8.927925109863281","9.341507911682129","9.341507911682129","9.341507911682129"
"52000","9.590078353881836","9.590078353881836","9.590078353881836","8.98521900177002","8.98521900177002","8.98521900177002","9.338650703430176","9.338650703430176","9.338650703430176"
"54000","9.698097229003906","9.698097229003906","9.698097229003906","8.952515602111816","8.952515602111816","8.952515602111816","9.412907600402832","9.412907600402832","9.412907600402832"
"56000","9.706698417663574","9.706698417663574","9.706698417663574","9.014657020568848","9.014657020568848","9.014657020568848","9.42208480834961","9.42208480834961","9.42208480834961"
"58000","9.663324356079102","9.663324356079102","9.663324356079102","8.9901123046875","8.9901123046875","8.9901123046875","9.414068222045898","9.414068222045898","9.414068222045898"
"60000","9.687028884887695","9.687028884887695","9.687028884887695","9.076308250427246","9.076308250427246","9.076308250427246","9.506226539611816","9.506226539611816","9.506226539611816"
"62000","9.808717727661133","9.808717727661133","9.808717727661133","9.052550315856934","9.052550315856934","9.052550315856934","9.511320114135742","9.511320114135742","9.511320114135742"
