"Step","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score__MIN","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - IS score__MAX","CIFAR10-contraloss - IS score","CIFAR10-contraloss - IS score__MIN","CIFAR10-contraloss - IS score__MAX","CIFAR10-ourloss - IS score","CIFAR10-ourloss - IS score__MIN","CIFAR10-ourloss - IS score__MAX"
"64000","9.76065444946289","9.76065444946289","9.76065444946289","9.111824989318848","9.111824989318848","9.111824989318848","9.48484992980957","9.48484992980957","9.48484992980957"
"66000","9.894233703613281","9.894233703613281","9.894233703613281","9.147350311279297","9.147350311279297","9.147350311279297","9.48985767364502","9.48985767364502","9.48985767364502"
"68000","9.929738998413086","9.929738998413086","9.929738998413086","9.125324249267578","9.125324249267578","9.125324249267578","9.469956398010254","9.469956398010254","9.469956398010254"
"70000","9.896326065063477","9.896326065063477","9.896326065063477","9.152355194091797","9.152355194091797","9.152355194091797","9.563804626464844","9.563804626464844","9.563804626464844"
"72000","9.884359359741211","9.884359359741211","9.884359359741211","9.136212348937988","9.136212348937988","9.136212348937988","9.592108726501465","9.592108726501465","9.592108726501465"
"74000","9.834446907043457","9.834446907043457","9.834446907043457","9.136212348937988","9.136212348937988","9.136212348937988","9.674264907836914","9.674264907836914","9.674264907836914"
"76000","9.818689346313477","9.818689346313477","9.818689346313477","9.266905784606934","9.266905784606934","9.266905784606934","9.680512428283691","9.680512428283691","9.680512428283691"
"78000","9.839686393737793","9.839686393737793","9.839686393737793","9.225686073303223","9.225686073303223","9.225686073303223","9.639965057373047","9.639965057373047","9.639965057373047"
"80000","9.854033470153809","9.854033470153809","9.854033470153809","9.297408103942871","9.297408103942871","9.297408103942871","9.592527389526367","9.592527389526367","9.592527389526367"
"82000","9.876103401184082","9.876103401184082","9.876103401184082","9.283945083618164","9.283945083618164","9.283945083618164","9.579785346984863","9.579785346984863","9.579785346984863"
"84000","9.797536849975586","9.797536849975586","9.797536849975586","9.297833442687988","9.297833442687988","9.297833442687988","9.605412483215332","9.605412483215332","9.605412483215332"
"86000","9.839276313781738","9.839276313781738","9.839276313781738","9.250309944152832","9.250309944152832","9.250309944152832","9.603997230529785","9.603997230529785","9.603997230529785"
"88000","9.798726081848145","9.798726081848145","9.798726081848145","9.214068412780762","9.214068412780762","9.214068412780762","9.651084899902344","9.651084899902344","9.651084899902344"
"90000","9.816009521484375","9.816009521484375","9.816009521484375","9.292694091796875","9.292694091796875","9.292694091796875","9.61520767211914","9.61520767211914","9.61520767211914"
"92000","9.768410682678223","9.768410682678223","9.768410682678223","9.346837043762207","9.346837043762207","9.346837043762207","9.773831367492676","9.773831367492676","9.773831367492676"
"94000","9.849653244018555","9.849653244018555","9.849653244018555","9.233119010925293","9.233119010925293","9.233119010925293","9.685708999633789","9.685708999633789","9.685708999633789"
"96000","9.721076011657715","9.721076011657715","9.721076011657715","9.277140617370605","9.277140617370605","9.277140617370605","9.663342475891113","9.663342475891113","9.663342475891113"
"98000","9.684915542602539","9.684915542602539","9.684915542602539","9.217062950134277","9.217062950134277","9.217062950134277","9.743873596191406","9.743873596191406","9.743873596191406"
"100000","9.754828453063965","9.754828453063965","9.754828453063965","9.220296859741211","9.220296859741211","9.220296859741211","9.76894474029541","9.76894474029541","9.76894474029541"
