"Step","imbcifar10_contra_loss_div4 - IS score","imbcifar10_contra_loss_div4 - IS score__MIN","imbcifar10_contra_loss_div4 - IS score__MAX","imbcifar10_our_loss_div4 - IS score","imbcifar10_our_loss_div4 - IS score__MIN","imbcifar10_our_loss_div4 - IS score__MAX"
"2000","4.876476287841797","4.876476287841797","4.876476287841797","5.069010257720947","5.069010257720947","5.069010257720947"
"4000","5.11508846282959","5.11508846282959","5.11508846282959","5.378215312957764","5.378215312957764","5.378215312957764"
"6000","5.3900933265686035","5.3900933265686035","5.3900933265686035","5.4475531578063965","5.4475531578063965","5.4475531578063965"
"8000","5.565855026245117","5.565855026245117","5.565855026245117","5.559533596038818","5.559533596038818","5.559533596038818"
"10000","5.679471492767334","5.679471492767334","5.679471492767334","5.725281238555908","5.725281238555908","5.725281238555908"
"12000","5.760136604309082","5.760136604309082","5.760136604309082","5.686522006988525","5.686522006988525","5.686522006988525"
"14000","5.831104278564453","5.831104278564453","5.831104278564453","5.65241813659668","5.65241813659668","5.65241813659668"
"16000","5.839958190917969","5.839958190917969","5.839958190917969","5.7190961837768555","5.7190961837768555","5.7190961837768555"
"18000","5.937646865844727","5.937646865844727","5.937646865844727","5.773705959320068","5.773705959320068","5.773705959320068"
"20000","6.022628307342529","6.022628307342529","6.022628307342529","5.839475631713867","5.839475631713867","5.839475631713867"
"22000","6.006779670715332","6.006779670715332","6.006779670715332","5.914319038391113","5.914319038391113","5.914319038391113"
"24000","5.983724594116211","5.983724594116211","5.983724594116211","6.035928249359131","6.035928249359131","6.035928249359131"
"26000","5.969738483428955","5.969738483428955","5.969738483428955","6.096487522125244","6.096487522125244","6.096487522125244"
"28000","6.078679084777832","6.078679084777832","6.078679084777832","6.257594108581543","6.257594108581543","6.257594108581543"
"30000","6.181180477142334","6.181180477142334","6.181180477142334","6.239222049713135","6.239222049713135","6.239222049713135"
"32000","6.250955581665039","6.250955581665039","6.250955581665039","6.3238205909729","6.3238205909729","6.3238205909729"
"34000","6.16379451751709","6.16379451751709","6.16379451751709","6.407415390014648","6.407415390014648","6.407415390014648"
"36000","6.142653465270996","6.142653465270996","6.142653465270996","6.456902027130127","6.456902027130127","6.456902027130127"
"38000","6.206348896026611","6.206348896026611","6.206348896026611","6.45918607711792","6.45918607711792","6.45918607711792"
"40000","6.082219123840332","6.082219123840332","6.082219123840332","6.444184303283691","6.444184303283691","6.444184303283691"
"42000","6.1481122970581055","6.1481122970581055","6.1481122970581055","6.297603607177734","6.297603607177734","6.297603607177734"
"44000","6.106514930725098","6.106514930725098","6.106514930725098","6.3762617111206055","6.3762617111206055","6.3762617111206055"
"46000","6.137149810791016","6.137149810791016","6.137149810791016","6.396691799163818","6.396691799163818","6.396691799163818"
"48000","6.125907897949219","6.125907897949219","6.125907897949219","6.3148016929626465","6.3148016929626465","6.3148016929626465"
"50000","6.201127529144287","6.201127529144287","6.201127529144287","6.405637741088867","6.405637741088867","6.405637741088867"
"52000","6.207129955291748","6.207129955291748","6.207129955291748","6.367746829986572","6.367746829986572","6.367746829986572"
"54000","6.146092414855957","6.146092414855957","6.146092414855957","6.356375217437744","6.356375217437744","6.356375217437744"
"56000","6.042252063751221","6.042252063751221","6.042252063751221","6.358259677886963","6.358259677886963","6.358259677886963"
"58000","6.08661413192749","6.08661413192749","6.08661413192749","6.39697790145874","6.39697790145874","6.39697790145874"
"60000","6.014342784881592","6.014342784881592","6.014342784881592","6.4632158279418945","6.4632158279418945","6.4632158279418945"
"62000","5.9028143882751465","5.9028143882751465","5.9028143882751465","6.269455909729004","6.269455909729004","6.269455909729004"
"64000","5.902538776397705","5.902538776397705","5.902538776397705","6.316329002380371","6.316329002380371","6.316329002380371"
"66000","5.9035115242004395","5.9035115242004395","5.9035115242004395","6.390944480895996","6.390944480895996","6.390944480895996"
"68000","5.832202434539795","5.832202434539795","5.832202434539795","6.395727634429932","6.395727634429932","6.395727634429932"
"70000","5.854165077209473","5.854165077209473","5.854165077209473","6.168123722076416","6.168123722076416","6.168123722076416"
"72000","5.863460540771484","5.863460540771484","5.863460540771484","6.340197563171387","6.340197563171387","6.340197563171387"
"74000","5.850387096405029","5.850387096405029","5.850387096405029","6.417123794555664","6.417123794555664","6.417123794555664"
"76000","5.842734336853027","5.842734336853027","5.842734336853027","6.350111961364746","6.350111961364746","6.350111961364746"
"78000","5.814913272857666","5.814913272857666","5.814913272857666","6.429626941680908","6.429626941680908","6.429626941680908"
"80000","5.750082492828369","5.750082492828369","5.750082492828369","6.471193790435791","6.471193790435791","6.471193790435791"
"82000","5.804486274719238","5.804486274719238","5.804486274719238","6.484637260437012","6.484637260437012","6.484637260437012"
"84000","5.738341808319092","5.738341808319092","5.738341808319092","6.484485626220703","6.484485626220703","6.484485626220703"
"86000","5.596254825592041","5.596254825592041","5.596254825592041","6.456634044647217","6.456634044647217","6.456634044647217"
"88000","5.4990234375","5.4990234375","5.4990234375","6.533104419708252","6.533104419708252","6.533104419708252"
"90000","5.5400309562683105","5.5400309562683105","5.5400309562683105","6.555877685546875","6.555877685546875","6.555877685546875"
"92000","5.165790557861328","5.165790557861328","5.165790557861328","6.605740547180176","6.605740547180176","6.605740547180176"
"94000","4.915812015533447","4.915812015533447","4.915812015533447","6.502872467041016","6.502872467041016","6.502872467041016"
"96000","4.491253852844238","4.491253852844238","4.491253852844238","6.561391353607178","6.561391353607178","6.561391353607178"
"98000","4.253602504730225","4.253602504730225","4.253602504730225","6.533849239349365","6.533849239349365","6.533849239349365"
"100000","4.065491676330566","4.065491676330566","4.065491676330566","6.523637771606445","6.523637771606445","6.523637771606445"
