"Step","imbcifar10_contra_loss_div4 - FID score","imbcifar10_contra_loss_div4 - FID score__MIN","imbcifar10_contra_loss_div4 - FID score__MAX","imbcifar10_our_loss_div4 - FID score","imbcifar10_our_loss_div4 - FID score__MIN","imbcifar10_our_loss_div4 - FID score__MAX"
"2000","51.89713837505553","51.89713837505553","51.89713837505553","59.800956322602076","59.800956322602076","59.800956322602076"
"4000","46.96398240231798","46.96398240231798","46.96398240231798","52.97608808195133","52.97608808195133","52.97608808195133"
"6000","43.55522656576022","43.55522656576022","43.55522656576022","49.725063850804304","49.725063850804304","49.725063850804304"
"8000","41.56372742570932","41.56372742570932","41.56372742570932","46.7519899579641","46.7519899579641","46.7519899579641"
"10000","40.425570180942316","40.425570180942316","40.425570180942316","45.721706237157605","45.721706237157605","45.721706237157605"
"12000","39.26628128818527","39.26628128818527","39.26628128818527","44.7595538637147","44.7595538637147","44.7595538637147"
"14000","37.661503539838634","37.661503539838634","37.661503539838634","43.915622553819674","43.915622553819674","43.915622553819674"
"16000","36.52917721601716","36.52917721601716","36.52917721601716","43.65298565967589","43.65298565967589","43.65298565967589"
"18000","36.120383931849744","36.120383931849744","36.120383931849744","41.11826518920867","41.11826518920867","41.11826518920867"
"20000","35.771265147009274","35.771265147009274","35.771265147009274","39.10643747307461","39.10643747307461","39.10643747307461"
"22000","34.953951163579404","34.953951163579404","34.953951163579404","37.44203884587887","37.44203884587887","37.44203884587887"
"24000","33.47520507809338","33.47520507809338","33.47520507809338","35.72123244455179","35.72123244455179","35.72123244455179"
"26000","32.964130150223355","32.964130150223355","32.964130150223355","34.47328995219823","34.47328995219823","34.47328995219823"
"28000","31.33052120318763","31.33052120318763","31.33052120318763","33.33118369986755","33.33118369986755","33.33118369986755"
"30000","31.082877925502203","31.082877925502203","31.082877925502203","31.89747660546658","31.89747660546658","31.89747660546658"
"32000","29.92282482881592","29.92282482881592","29.92282482881592","31.741492434101588","31.741492434101588","31.741492434101588"
"34000","29.41297949492366","29.41297949492366","29.41297949492366","30.04377837458503","30.04377837458503","30.04377837458503"
"36000","29.611378239822102","29.611378239822102","29.611378239822102","29.938232685516653","29.938232685516653","29.938232685516653"
"38000","29.299045094339363","29.299045094339363","29.299045094339363","29.03410086872259","29.03410086872259","29.03410086872259"
"40000","29.24705238070817","29.24705238070817","29.24705238070817","28.880867401925286","28.880867401925286","28.880867401925286"
"42000","29.03546043590569","29.03546043590569","29.03546043590569","28.647217480241352","28.647217480241352","28.647217480241352"
"44000","29.80643074094837","29.80643074094837","29.80643074094837","27.958249316481442","27.958249316481442","27.958249316481442"
"46000","30.531076648786893","30.531076648786893","30.531076648786893","28.72535890405578","28.72535890405578","28.72535890405578"
"48000","30.211912100979646","30.211912100979646","30.211912100979646","28.451408458226524","28.451408458226524","28.451408458226524"
"50000","30.875733399959586","30.875733399959586","30.875733399959586","28.16083397080638","28.16083397080638","28.16083397080638"
"52000","30.676608598291693","30.676608598291693","30.676608598291693","27.945311885744957","27.945311885744957","27.945311885744957"
"54000","30.50397796540102","30.50397796540102","30.50397796540102","28.651433341520033","28.651433341520033","28.651433341520033"
"56000","30.314952014648327","30.314952014648327","30.314952014648327","28.195881214289557","28.195881214289557","28.195881214289557"
"58000","30.705344178856024","30.705344178856024","30.705344178856024","27.276914300829446","27.276914300829446","27.276914300829446"
"60000","30.762563147467517","30.762563147467517","30.762563147467517","27.512975128725145","27.512975128725145","27.512975128725145"
"62000","31.279752012564188","31.279752012564188","31.279752012564188","27.07714971822162","27.07714971822162","27.07714971822162"
"64000","31.306904031783233","31.306904031783233","31.306904031783233","26.646900011834703","26.646900011834703","26.646900011834703"
"66000","31.655702386818177","31.655702386818177","31.655702386818177","27.0588929106799","27.0588929106799","27.0588929106799"
"68000","32.29930193682782","32.29930193682782","32.29930193682782","26.663192801281753","26.663192801281753","26.663192801281753"
"70000","32.713530370990895","32.713530370990895","32.713530370990895","26.910655490811166","26.910655490811166","26.910655490811166"
"72000","33.37320829433901","33.37320829433901","33.37320829433901","26.819410758384493","26.819410758384493","26.819410758384493"
"74000","33.983646192844276","33.983646192844276","33.983646192844276","27.030819680651405","27.030819680651405","27.030819680651405"
"76000","34.23148741307983","34.23148741307983","34.23148741307983","26.693446382827062","26.693446382827062","26.693446382827062"
"78000","35.919559704856965","35.919559704856965","35.919559704856965","26.359571472072503","26.359571472072503","26.359571472072503"
"80000","38.70529994975874","38.70529994975874","38.70529994975874","27.489682850788654","27.489682850788654","27.489682850788654"
"82000","40.18537912464416","40.18537912464416","40.18537912464416","27.125250935908014","27.125250935908014","27.125250935908014"
"84000","42.165332080104236","42.165332080104236","42.165332080104236","26.88188466945138","26.88188466945138","26.88188466945138"
"86000","45.29536189918849","45.29536189918849","45.29536189918849","26.877272844025583","26.877272844025583","26.877272844025583"
"88000","46.45398100803584","46.45398100803584","46.45398100803584","26.78779911822346","26.78779911822346","26.78779911822346"
"90000","48.93286012897846","48.93286012897846","48.93286012897846","26.734700083368523","26.734700083368523","26.734700083368523"
"92000","53.46601791389389","53.46601791389389","53.46601791389389","26.53194198463717","26.53194198463717","26.53194198463717"
"94000","57.53839012519791","57.53839012519791","57.53839012519791","25.948286408614592","25.948286408614592","25.948286408614592"
"96000","65.6840943560976","65.6840943560976","65.6840943560976","25.52989999911864","25.52989999911864","25.52989999911864"
"98000","76.56673038162609","76.56673038162609","76.56673038162609","26.4556774905339","26.4556774905339","26.4556774905339"
"100000","88.53877304487241","88.53877304487241","88.53877304487241","26.24019753095854","26.24019753095854","26.24019753095854"
