"Step","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score__MIN","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score__MAX","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score__MIN","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score__MAX","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score__MIN","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score__MAX","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score__MIN","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score__MAX","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score__MIN","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score__MAX"
"22000","109.31737669201084","109.31737669201084","109.31737669201084","120.30285384462803","120.30285384462803","120.30285384462803","51.209111715534505","51.209111715534505","51.209111715534505","44.94398753789238","44.94398753789238","44.94398753789238","223.96927910488677","223.96927910488677","223.96927910488677"
"24000","116.64683736915089","116.64683736915089","116.64683736915089","140.1032466256545","140.1032466256545","140.1032466256545","52.103623117786526","52.103623117786526","52.103623117786526","48.879689907884426","48.879689907884426","48.879689907884426","226.35800374434444","226.35800374434444","226.35800374434444"
"26000","122.78598112757919","122.78598112757919","122.78598112757919","156.56953690205398","156.56953690205398","156.56953690205398","57.918515514753096","57.918515514753096","57.918515514753096","71.1048136893296","71.1048136893296","71.1048136893296","231.8416556048499","231.8416556048499","231.8416556048499"
"28000","126.9464601003454","126.9464601003454","126.9464601003454","160.9334313338361","160.9334313338361","160.9334313338361","77.9203073646172","77.9203073646172","77.9203073646172","125.27779286806549","125.27779286806549","125.27779286806549","241.04880808398752","241.04880808398752","241.04880808398752"
"30000","132.82535529946801","132.82535529946801","132.82535529946801","171.29015247085883","171.29015247085883","171.29015247085883","95.56014676668735","95.56014676668735","95.56014676668735","186.56263354426943","186.56263354426943","186.56263354426943","243.0397207332889","243.0397207332889","243.0397207332889"
"32000","135.35825763287863","135.35825763287863","135.35825763287863","170.8150257978568","170.8150257978568","170.8150257978568","113.37425641585804","113.37425641585804","113.37425641585804","223.62816196781597","223.62816196781597","223.62816196781597","246.51434057923495","246.51434057923495","246.51434057923495"
"34000","141.66620882053508","141.66620882053508","141.66620882053508","169.43799534973795","169.43799534973795","169.43799534973795","131.05081771940712","131.05081771940712","131.05081771940712","248.09647938444002","248.09647938444002","248.09647938444002","250.51081858215292","250.51081858215292","250.51081858215292"
"36000","148.96826793601724","148.96826793601724","148.96826793601724","169.48815687408265","169.48815687408265","169.48815687408265","143.3372460291206","143.3372460291206","143.3372460291206","251.10906787553517","251.10906787553517","251.10906787553517","260.8674965272907","260.8674965272907","260.8674965272907"
"38000","152.38105922703062","152.38105922703062","152.38105922703062","172.76975503651292","172.76975503651292","172.76975503651292","148.54095739410633","148.54095739410633","148.54095739410633","255.90566983227012","255.90566983227012","255.90566983227012","262.24914352524235","262.24914352524235","262.24914352524235"
"40000","151.03538920669752","151.03538920669752","151.03538920669752","176.30430037291686","176.30430037291686","176.30430037291686","157.44268376690218","157.44268376690218","157.44268376690218","235.9106510150006","235.9106510150006","235.9106510150006","253.31508076562878","253.31508076562878","253.31508076562878"
"42000","153.46865134468226","153.46865134468226","153.46865134468226","172.24934293936806","172.24934293936806","172.24934293936806","154.37108922044615","154.37108922044615","154.37108922044615","251.70624590336297","251.70624590336297","251.70624590336297","255.1514739433954","255.1514739433954","255.1514739433954"
"44000","147.6308384900433","147.6308384900433","147.6308384900433","173.6796774749833","173.6796774749833","173.6796774749833","152.46879890637132","152.46879890637132","152.46879890637132","243.53162082238245","243.53162082238245","243.53162082238245","254.41002462053135","254.41002462053135","254.41002462053135"
"46000","148.6643491941279","148.6643491941279","148.6643491941279","164.4191784571639","164.4191784571639","164.4191784571639","164.62402415012815","164.62402415012815","164.62402415012815","238.43915971198538","238.43915971198538","238.43915971198538","263.2885300690134","263.2885300690134","263.2885300690134"
"48000","145.4145689992643","145.4145689992643","145.4145689992643","168.7737335180035","168.7737335180035","168.7737335180035","161.5851099171303","161.5851099171303","161.5851099171303","248.260249417918","248.260249417918","248.260249417918","258.8563615258347","258.8563615258347","258.8563615258347"
"50000","150.89332447199308","150.89332447199308","150.89332447199308","159.11579634510534","159.11579634510534","159.11579634510534","153.60077207953657","153.60077207953657","153.60077207953657","231.25440250927124","231.25440250927124","231.25440250927124","267.2074660532694","267.2074660532694","267.2074660532694"
"52000","150.12555441374752","150.12555441374752","150.12555441374752","160.4403394170359","160.4403394170359","160.4403394170359","150.4911757095055","150.4911757095055","150.4911757095055","239.34375949690903","239.34375949690903","239.34375949690903","272.77684191555613","272.77684191555613","272.77684191555613"
"54000","149.05650338819953","149.05650338819953","149.05650338819953","166.50697355735934","166.50697355735934","166.50697355735934","143.59015999079946","143.59015999079946","143.59015999079946","253.77119397382748","253.77119397382748","253.77119397382748","271.6572357019128","271.6572357019128","271.6572357019128"
"56000","155.18309784201023","155.18309784201023","155.18309784201023","172.14311369806268","172.14311369806268","172.14311369806268","145.2164777083541","145.2164777083541","145.2164777083541","250.07762492887844","250.07762492887844","250.07762492887844","271.58047579221517","271.58047579221517","271.58047579221517"
"58000","157.98057842625093","157.98057842625093","157.98057842625093","173.8004470022068","173.8004470022068","173.8004470022068","142.9786627201184","142.9786627201184","142.9786627201184","231.49284381244325","231.49284381244325","231.49284381244325","271.894762091835","271.894762091835","271.894762091835"
"60000","158.40454269809698","158.40454269809698","158.40454269809698","168.5837646523459","168.5837646523459","168.5837646523459","140.1787379778466","140.1787379778466","140.1787379778466","241.9663253888946","241.9663253888946","241.9663253888946","262.99658106520167","262.99658106520167","262.99658106520167"
"62000","150.58783886845464","150.58783886845464","150.58783886845464","170.67882609632773","170.67882609632773","170.67882609632773","144.9255267908975","144.9255267908975","144.9255267908975","246.41460195869803","246.41460195869803","246.41460195869803","267.66548498398816","267.66548498398816","267.66548498398816"
"64000","152.612605431902","152.612605431902","152.612605431902","176.8971026065639","176.8971026065639","176.8971026065639","135.50864568048775","135.50864568048775","135.50864568048775","238.84091267106322","238.84091267106322","238.84091267106322","273.43265082374427","273.43265082374427","273.43265082374427"
"66000","152.26391679336666","152.26391679336666","152.26391679336666","176.80523866117713","176.80523866117713","176.80523866117713","144.67405027250288","144.67405027250288","144.67405027250288","236.30461568766063","236.30461568766063","236.30461568766063","270.6509657176317","270.6509657176317","270.6509657176317"
"68000","143.75371710815517","143.75371710815517","143.75371710815517","174.68181961819812","174.68181961819812","174.68181961819812","148.3396580022653","148.3396580022653","148.3396580022653","238.98339321163985","238.98339321163985","238.98339321163985","260.1289473125597","260.1289473125597","260.1289473125597"
"70000","143.53072259590084","143.53072259590084","143.53072259590084","185.30619544927958","185.30619544927958","185.30619544927958","148.58771496557995","148.58771496557995","148.58771496557995","230.57840303060317","230.57840303060317","230.57840303060317","251.95137458248263","251.95137458248263","251.95137458248263"
"72000","143.42736445356093","143.42736445356093","143.42736445356093","183.9298546528821","183.9298546528821","183.9298546528821","145.91709015253758","145.91709015253758","145.91709015253758","238.04726476214006","238.04726476214006","238.04726476214006","245.1771737155174","245.1771737155174","245.1771737155174"
"74000","146.64978568408088","146.64978568408088","146.64978568408088","181.99781529177946","181.99781529177946","181.99781529177946","150.5838345205076","150.5838345205076","150.5838345205076","241.31730028061065","241.31730028061065","241.31730028061065","244.014253558162","244.014253558162","244.014253558162"
"76000","153.50698759838315","153.50698759838315","153.50698759838315","174.13494226082025","174.13494226082025","174.13494226082025","146.83605204301256","146.83605204301256","146.83605204301256","238.90379540771488","238.90379540771488","238.90379540771488","240.19354335456222","240.19354335456222","240.19354335456222"
"78000","153.1803572033829","153.1803572033829","153.1803572033829","183.73831910816227","183.73831910816227","183.73831910816227","140.64362218346963","140.64362218346963","140.64362218346963","230.9789650627869","230.9789650627869","230.9789650627869","237.62948893075156","237.62948893075156","237.62948893075156"
"80000","154.4710456107506","154.4710456107506","154.4710456107506","177.96318210501883","177.96318210501883","177.96318210501883","142.05156001081076","142.05156001081076","142.05156001081076","222.33141885062784","222.33141885062784","222.33141885062784","243.39645119184357","243.39645119184357","243.39645119184357"
"82000","158.78494585341895","158.78494585341895","158.78494585341895","169.38902088151983","169.38902088151983","169.38902088151983","143.39496620170644","143.39496620170644","143.39496620170644","233.5705266941515","233.5705266941515","233.5705266941515","244.64548993537602","244.64548993537602","244.64548993537602"
"84000","152.21325048121315","152.21325048121315","152.21325048121315","165.55454080381753","165.55454080381753","165.55454080381753","142.93842686269596","142.93842686269596","142.93842686269596","240.50823511484285","240.50823511484285","240.50823511484285","232.09899573318154","232.09899573318154","232.09899573318154"
"86000","149.489989225072","149.489989225072","149.489989225072","160.89766508827225","160.89766508827225","160.89766508827225","141.71592454471545","141.71592454471545","141.71592454471545","245.77328835119096","245.77328835119096","245.77328835119096","239.43312714909132","239.43312714909132","239.43312714909132"
"88000","151.10993118477347","151.10993118477347","151.10993118477347","161.47577470694762","161.47577470694762","161.47577470694762","141.62857062852584","141.62857062852584","141.62857062852584","243.4747340509273","243.4747340509273","243.4747340509273","231.34005150489895","231.34005150489895","231.34005150489895"
"90000","157.61214821312223","157.61214821312223","157.61214821312223","159.09597914362024","159.09597914362024","159.09597914362024","141.78196671574432","141.78196671574432","141.78196671574432","238.43770136764945","238.43770136764945","238.43770136764945","232.8046609860092","232.8046609860092","232.8046609860092"
"92000","166.22680020088936","166.22680020088936","166.22680020088936","158.82539440052236","158.82539440052236","158.82539440052236","144.17318117542874","144.17318117542874","144.17318117542874","232.55049783557538","232.55049783557538","232.55049783557538","240.72534423637003","240.72534423637003","240.72534423637003"
"94000","157.97631486314668","157.97631486314668","157.97631486314668","162.26642756659828","162.26642756659828","162.26642756659828","134.6543223739876","134.6543223739876","134.6543223739876","236.84153394155823","236.84153394155823","236.84153394155823","245.08862009959603","245.08862009959603","245.08862009959603"
"96000","155.03203824106293","155.03203824106293","155.03203824106293","165.92961713851025","165.92961713851025","165.92961713851025","130.9524605326343","130.9524605326343","130.9524605326343","236.663713616518","236.663713616518","236.663713616518","235.0880523688616","235.0880523688616","235.0880523688616"
"98000","152.98414865300492","152.98414865300492","152.98414865300492","168.71109851714527","168.71109851714527","168.71109851714527","132.1511105278695","132.1511105278695","132.1511105278695","229.97470205676342","229.97470205676342","229.97470205676342","244.05208475989616","244.05208475989616","244.05208475989616"
"100000","161.50859605568618","161.50859605568618","161.50859605568618","169.6653973138829","169.6653973138829","169.6653973138829","128.45243677038167","128.45243677038167","128.45243677038167","224.49146987071995","224.49146987071995","224.49146987071995","242.73485287063903","242.73485287063903","242.73485287063903"
