"Step","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - FID score","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - FID score__MIN","CIFAR10-ReACGAN-train-2022_09_20_14_46_48 - FID score__MAX","CIFAR10-contraloss - FID score","CIFAR10-contraloss - FID score__MIN","CIFAR10-contraloss - FID score__MAX","CIFAR10-ourloss - FID score","CIFAR10-ourloss - FID score__MIN","CIFAR10-ourloss - FID score__MAX"
"2000","38.088907454053526","38.088907454053526","38.088907454053526","44.94153531459642","44.94153531459642","44.94153531459642","43.8726828626705","43.8726828626705","43.8726828626705"
"4000","33.22294346430169","33.22294346430169","33.22294346430169","40.860225826596434","40.860225826596434","40.860225826596434","39.28461002981578","39.28461002981578","39.28461002981578"
"6000","32.717270901998404","32.717270901998404","32.717270901998404","39.10950988547694","39.10950988547694","39.10950988547694","39.03919569258858","39.03919569258858","39.03919569258858"
"8000","32.068936934340286","32.068936934340286","32.068936934340286","37.853196669340264","37.853196669340264","37.853196669340264","38.01947766857751","38.01947766857751","38.01947766857751"
"10000","29.89622231137207","29.89622231137207","29.89622231137207","35.81861940626408","35.81861940626408","35.81861940626408","35.23927768014556","35.23927768014556","35.23927768014556"
"12000","27.5627420641884","27.5627420641884","27.5627420641884","33.35976488520356","33.35976488520356","33.35976488520356","32.777531900878216","32.777531900878216","32.777531900878216"
"14000","24.84020218747537","24.84020218747537","24.84020218747537","30.813323093133477","30.813323093133477","30.813323093133477","29.54761516021739","29.54761516021739","29.54761516021739"
"16000","22.576622490568354","22.576622490568354","22.576622490568354","27.987167745853355","27.987167745853355","27.987167745853355","26.585219938708974","26.585219938708974","26.585219938708974"
"18000","20.852335193134195","20.852335193134195","20.852335193134195","25.064122745365864","25.064122745365864","25.064122745365864","24.51224035807894","24.51224035807894","24.51224035807894"
"20000","19.328856069139988","19.328856069139988","19.328856069139988","22.75048629750387","22.75048629750387","22.75048629750387","22.11466311925136","22.11466311925136","22.11466311925136"
"22000","18.089102000391335","18.089102000391335","18.089102000391335","20.64531768324906","20.64531768324906","20.64531768324906","19.850317787081394","19.850317787081394","19.850317787081394"
"24000","17.207686795389122","17.207686795389122","17.207686795389122","18.920801389588917","18.920801389588917","18.920801389588917","18.03087900153156","18.03087900153156","18.03087900153156"
"26000","15.821369459375262","15.821369459375262","15.821369459375262","17.541726862840164","17.541726862840164","17.541726862840164","16.038892681479922","16.038892681479922","16.038892681479922"
"28000","14.587796059299308","14.587796059299308","14.587796059299308","15.779634206893206","15.779634206893206","15.779634206893206","14.601234643179964","14.601234643179964","14.601234643179964"
"30000","13.50346887313134","13.50346887313134","13.50346887313134","14.696598431095595","14.696598431095595","14.696598431095595","13.496854228956067","13.496854228956067","13.496854228956067"
"32000","12.594624734290619","12.594624734290619","12.594624734290619","13.559611413539983","13.559611413539983","13.559611413539983","12.567586695884984","12.567586695884984","12.567586695884984"
"34000","11.762201022782335","11.762201022782335","11.762201022782335","12.935351600086733","12.935351600086733","12.935351600086733","11.751057010859881","11.751057010859881","11.751057010859881"
"36000","10.785041333674599","10.785041333674599","10.785041333674599","12.271790385858196","12.271790385858196","12.271790385858196","10.660781148327771","10.660781148327771","10.660781148327771"
"38000","10.156711930211657","10.156711930211657","10.156711930211657","11.748034153196159","11.748034153196159","11.748034153196159","10.044282366478342","10.044282366478342","10.044282366478342"
"40000","9.587392731092166","9.587392731092166","9.587392731092166","11.32449412306164","11.32449412306164","11.32449412306164","9.396567384883383","9.396567384883383","9.396567384883383"
"42000","8.816058542970893","8.816058542970893","8.816058542970893","10.736836752506633","10.736836752506633","10.736836752506633","8.894401214917991","8.894401214917991","8.894401214917991"
"44000","8.335911779292417","8.335911779292417","8.335911779292417","10.50875712808346","10.50875712808346","10.50875712808346","8.525054918293222","8.525054918293222","8.525054918293222"
"46000","8.05273580125106","8.05273580125106","8.05273580125106","10.06185323411637","10.06185323411637","10.06185323411637","8.199759631118809","8.199759631118809","8.199759631118809"
"48000","7.5748353361738054","7.5748353361738054","7.5748353361738054","9.662488369523317","9.662488369523317","9.662488369523317","7.85522941077943","7.85522941077943","7.85522941077943"
"50000","7.354618750434952","7.354618750434952","7.354618750434952","9.329671498094058","9.329671498094058","9.329671498094058","7.488305710384395","7.488305710384395","7.488305710384395"
"52000","7.1938965363440275","7.1938965363440275","7.1938965363440275","9.008032715366596","9.008032715366596","9.008032715366596","7.303984643532715","7.303984643532715","7.303984643532715"
"54000","6.855479259082358","6.855479259082358","6.855479259082358","8.792516420682205","8.792516420682205","8.792516420682205","6.873443097816391","6.873443097816391","6.873443097816391"
"56000","6.611025183307277","6.611025183307277","6.611025183307277","8.651828324434746","8.651828324434746","8.651828324434746","6.810288615035063","6.810288615035063","6.810288615035063"
"58000","6.385464773679246","6.385464773679246","6.385464773679246","8.42808213032066","8.42808213032066","8.42808213032066","6.585377856228604","6.585377856228604","6.585377856228604"
"60000","6.141595805674456","6.141595805674456","6.141595805674456","8.257026513279357","8.257026513279357","8.257026513279357","6.480388451245176","6.480388451245176","6.480388451245176"
"62000","6.060958208247996","6.060958208247996","6.060958208247996","8.084977904416633","8.084977904416633","8.084977904416633","6.29929152184036","6.29929152184036","6.29929152184036"
"64000","5.910920047820753","5.910920047820753","5.910920047820753","8.021685877975756","8.021685877975756","8.021685877975756","6.178844563300231","6.178844563300231","6.178844563300231"
"66000","5.624224754018144","5.624224754018144","5.624224754018144","7.88450971054948","7.88450971054948","7.88450971054948","6.092435777564049","6.092435777564049","6.092435777564049"
"68000","5.430345934866523","5.430345934866523","5.430345934866523","7.724532962113983","7.724532962113983","7.724532962113983","5.939104912368805","5.939104912368805","5.939104912368805"
"70000","5.372943594366916","5.372943594366916","5.372943594366916","7.572775728440092","7.572775728440092","7.572775728440092","5.78397047359914","5.78397047359914","5.78397047359914"
"72000","5.286842679312258","5.286842679312258","5.286842679312258","7.43523148917302","7.43523148917302","7.43523148917302","5.739764476959692","5.739764476959692","5.739764476959692"
"74000","5.132683682155914","5.132683682155914","5.132683682155914","7.4636202451143845","7.4636202451143845","7.4636202451143845","5.64408859410014","5.64408859410014","5.64408859410014"
"76000","5.148654162194589","5.148654162194589","5.148654162194589","7.366231964902568","7.366231964902568","7.366231964902568","5.565531791593685","5.565531791593685","5.565531791593685"
"78000","5.01120706086914","5.01120706086914","5.01120706086914","7.1992626450677335","7.1992626450677335","7.1992626450677335","5.375881687844128","5.375881687844128","5.375881687844128"
"80000","4.950356555139081","4.950356555139081","4.950356555139081","7.081948692982849","7.081948692982849","7.081948692982849","5.482017630335179","5.482017630335179","5.482017630335179"
"82000","4.950151977260987","4.950151977260987","4.950151977260987","7.099143178166514","7.099143178166514","7.099143178166514","5.238420972786059","5.238420972786059","5.238420972786059"
"84000","4.919873165951628","4.919873165951628","4.919873165951628","7.014910018149521","7.014910018149521","7.014910018149521","5.264363801252614","5.264363801252614","5.264363801252614"
"86000","4.783924537875123","4.783924537875123","4.783924537875123","6.919838173111202","6.919838173111202","6.919838173111202","5.261337905620849","5.261337905620849","5.261337905620849"
"88000","4.759590893244535","4.759590893244535","4.759590893244535","6.87490892890969","6.87490892890969","6.87490892890969","5.172532950229822","5.172532950229822","5.172532950229822"
"90000","4.817583649954145","4.817583649954145","4.817583649954145","6.712280331765896","6.712280331765896","6.712280331765896","5.102632451574038","5.102632451574038","5.102632451574038"
"92000","4.752064131624763","4.752064131624763","4.752064131624763","6.606290944415889","6.606290944415889","6.606290944415889","5.116195611768717","5.116195611768717","5.116195611768717"
"94000","4.71218178021536","4.71218178021536","4.71218178021536","6.625370394819242","6.625370394819242","6.625370394819242","5.05370530578864","5.05370530578864","5.05370530578864"
"96000","4.623855638528198","4.623855638528198","4.623855638528198","6.576118499990514","6.576118499990514","6.576118499990514","4.977818828874206","4.977818828874206","4.977818828874206"
