"Step","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score__MIN","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score__MAX","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score__MIN","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score__MAX","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score__MIN","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score__MAX","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score__MIN","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score__MAX","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score__MIN","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score__MAX"
"22000","4.892178535461426","4.892178535461426","4.892178535461426","4.14363431930542","4.14363431930542","4.14363431930542","6.322650909423828","6.322650909423828","6.322650909423828","6.395516872406006","6.395516872406006","6.395516872406006","1.9066141843795776","1.9066141843795776","1.9066141843795776"
"24000","4.512101173400879","4.512101173400879","4.512101173400879","3.5296547412872314","3.5296547412872314","3.5296547412872314","6.219686031341553","6.219686031341553","6.219686031341553","6.244239330291748","6.244239330291748","6.244239330291748","1.8114495277404785","1.8114495277404785","1.8114495277404785"
"26000","4.376608371734619","4.376608371734619","4.376608371734619","3.2019810676574707","3.2019810676574707","3.2019810676574707","5.96254301071167","5.96254301071167","5.96254301071167","5.796879291534424","5.796879291534424","5.796879291534424","1.7154403924942017","1.7154403924942017","1.7154403924942017"
"28000","4.1969895362854","4.1969895362854","4.1969895362854","3.171316146850586","3.171316146850586","3.171316146850586","5.555593967437744","5.555593967437744","5.555593967437744","4.429595470428467","4.429595470428467","4.429595470428467","1.789219617843628","1.789219617843628","1.789219617843628"
"30000","4.141526699066162","4.141526699066162","4.141526699066162","3.051987648010254","3.051987648010254","3.051987648010254","5.196277141571045","5.196277141571045","5.196277141571045","3.0109519958496094","3.0109519958496094","3.0109519958496094","1.7206529378890991","1.7206529378890991","1.7206529378890991"
"32000","3.8822758197784424","3.8822758197784424","3.8822758197784424","3.1278233528137207","3.1278233528137207","3.1278233528137207","4.334770202636719","4.334770202636719","4.334770202636719","2.4424800872802734","2.4424800872802734","2.4424800872802734","1.7080034017562866","1.7080034017562866","1.7080034017562866"
"34000","3.888278007507324","3.888278007507324","3.888278007507324","3.224491596221924","3.224491596221924","3.224491596221924","4.26404333114624","4.26404333114624","4.26404333114624","2.1536614894866943","2.1536614894866943","2.1536614894866943","1.7715855836868286","1.7715855836868286","1.7715855836868286"
"36000","3.5871307849884033","3.5871307849884033","3.5871307849884033","3.5673325061798096","3.5673325061798096","3.5673325061798096","3.9366235733032227","3.9366235733032227","3.9366235733032227","1.9829691648483276","1.9829691648483276","1.9829691648483276","1.8437837362289429","1.8437837362289429","1.8437837362289429"
"38000","3.4677507877349854","3.4677507877349854","3.4677507877349854","3.391834020614624","3.391834020614624","3.391834020614624","4.090173244476318","4.090173244476318","4.090173244476318","1.950609564781189","1.950609564781189","1.950609564781189","1.8674582242965698","1.8674582242965698","1.8674582242965698"
"40000","3.7488584518432617","3.7488584518432617","3.7488584518432617","3.6359920501708984","3.6359920501708984","3.6359920501708984","3.769961357116699","3.769961357116699","3.769961357116699","2.29866623878479","2.29866623878479","2.29866623878479","1.811266303062439","1.811266303062439","1.811266303062439"
"42000","3.9521701335906982","3.9521701335906982","3.9521701335906982","3.1223742961883545","3.1223742961883545","3.1223742961883545","3.7225706577301025","3.7225706577301025","3.7225706577301025","2.1638944149017334","2.1638944149017334","2.1638944149017334","2.0683884620666504","2.0683884620666504","2.0683884620666504"
"44000","4.058772563934326","4.058772563934326","4.058772563934326","3.0756640434265137","3.0756640434265137","3.0756640434265137","3.713608980178833","3.713608980178833","3.713608980178833","2.1220881938934326","2.1220881938934326","2.1220881938934326","2.079561948776245","2.079561948776245","2.079561948776245"
"46000","4.440934181213379","4.440934181213379","4.440934181213379","3.3956828117370605","3.3956828117370605","3.3956828117370605","3.7542996406555176","3.7542996406555176","3.7542996406555176","2.0504190921783447","2.0504190921783447","2.0504190921783447","1.9523887634277344","1.9523887634277344","1.9523887634277344"
"48000","4.469858169555664","4.469858169555664","4.469858169555664","3.803056478500366","3.803056478500366","3.803056478500366","3.241986036300659","3.241986036300659","3.241986036300659","2.0061240196228027","2.0061240196228027","2.0061240196228027","1.9606671333312988","1.9606671333312988","1.9606671333312988"
"50000","4.2202324867248535","4.2202324867248535","4.2202324867248535","3.961756706237793","3.961756706237793","3.961756706237793","3.568535089492798","3.568535089492798","3.568535089492798","2.2528131008148193","2.2528131008148193","2.2528131008148193","1.9453399181365967","1.9453399181365967","1.9453399181365967"
"52000","3.8766930103302","3.8766930103302","3.8766930103302","3.741806745529175","3.741806745529175","3.741806745529175","3.6388087272644043","3.6388087272644043","3.6388087272644043","2.176589012145996","2.176589012145996","2.176589012145996","1.7764331102371216","1.7764331102371216","1.7764331102371216"
"54000","3.7680411338806152","3.7680411338806152","3.7680411338806152","3.4710354804992676","3.4710354804992676","3.4710354804992676","3.864685535430908","3.864685535430908","3.864685535430908","2.3202314376831055","2.3202314376831055","2.3202314376831055","1.7281113862991333","1.7281113862991333","1.7281113862991333"
"56000","3.8761417865753174","3.8761417865753174","3.8761417865753174","3.394986629486084","3.394986629486084","3.394986629486084","4.42410135269165","4.42410135269165","4.42410135269165","2.6302144527435303","2.6302144527435303","2.6302144527435303","1.7835906744003296","1.7835906744003296","1.7835906744003296"
"58000","3.9237067699432373","3.9237067699432373","3.9237067699432373","3.746678590774536","3.746678590774536","3.746678590774536","4.159896373748779","4.159896373748779","4.159896373748779","2.279576301574707","2.279576301574707","2.279576301574707","1.8481186628341675","1.8481186628341675","1.8481186628341675"
"60000","3.69816517829895","3.69816517829895","3.69816517829895","4.090066909790039","4.090066909790039","4.090066909790039","4.463171005249023","4.463171005249023","4.463171005249023","2.4230234622955322","2.4230234622955322","2.4230234622955322","1.8532426357269287","1.8532426357269287","1.8532426357269287"
"62000","3.6708459854125977","3.6708459854125977","3.6708459854125977","4.333489894866943","4.333489894866943","4.333489894866943","4.5648016929626465","4.5648016929626465","4.5648016929626465","2.6261768341064453","2.6261768341064453","2.6261768341064453","1.8061485290527344","1.8061485290527344","1.8061485290527344"
"64000","3.7733376026153564","3.7733376026153564","3.7733376026153564","4.046186447143555","4.046186447143555","4.046186447143555","4.374689102172852","4.374689102172852","4.374689102172852","2.4996957778930664","2.4996957778930664","2.4996957778930664","1.7847117185592651","1.7847117185592651","1.7847117185592651"
"66000","3.755223512649536","3.755223512649536","3.755223512649536","4.230560779571533","4.230560779571533","4.230560779571533","4.103952407836914","4.103952407836914","4.103952407836914","2.205482006072998","2.205482006072998","2.205482006072998","1.754537582397461","1.754537582397461","1.754537582397461"
"68000","4.043045997619629","4.043045997619629","4.043045997619629","4.373615264892578","4.373615264892578","4.373615264892578","4.383811950683594","4.383811950683594","4.383811950683594","2.3079216480255127","2.3079216480255127","2.3079216480255127","2.1538021564483643","2.1538021564483643","2.1538021564483643"
"70000","4.153397083282471","4.153397083282471","4.153397083282471","3.9122071266174316","3.9122071266174316","3.9122071266174316","3.7928431034088135","3.7928431034088135","3.7928431034088135","2.4802465438842773","2.4802465438842773","2.4802465438842773","2.109022378921509","2.109022378921509","2.109022378921509"
"72000","4.122415065765381","4.122415065765381","4.122415065765381","3.8516199588775635","3.8516199588775635","3.8516199588775635","4.466190814971924","4.466190814971924","4.466190814971924","2.2547032833099365","2.2547032833099365","2.2547032833099365","2.14125919342041","2.14125919342041","2.14125919342041"
"74000","3.593224048614502","3.593224048614502","3.593224048614502","3.953155279159546","3.953155279159546","3.953155279159546","4.512030601501465","4.512030601501465","4.512030601501465","2.2485511302948","2.2485511302948","2.2485511302948","2.3548550605773926","2.3548550605773926","2.3548550605773926"
"76000","3.3989555835723877","3.3989555835723877","3.3989555835723877","3.9905331134796143","3.9905331134796143","3.9905331134796143","4.648794174194336","4.648794174194336","4.648794174194336","2.4253623485565186","2.4253623485565186","2.4253623485565186","2.3659064769744873","2.3659064769744873","2.3659064769744873"
"78000","3.543318510055542","3.543318510055542","3.543318510055542","4.751034259796143","4.751034259796143","4.751034259796143","4.627967357635498","4.627967357635498","4.627967357635498","2.2296133041381836","2.2296133041381836","2.2296133041381836","2.4895920753479004","2.4895920753479004","2.4895920753479004"
"80000","3.663940191268921","3.663940191268921","3.663940191268921","4.192276477813721","4.192276477813721","4.192276477813721","4.757582187652588","4.757582187652588","4.757582187652588","2.0631394386291504","2.0631394386291504","2.0631394386291504","2.1614980697631836","2.1614980697631836","2.1614980697631836"
"82000","3.8570351600646973","3.8570351600646973","3.8570351600646973","4.057675361633301","4.057675361633301","4.057675361633301","4.074246406555176","4.074246406555176","4.074246406555176","2.3382322788238525","2.3382322788238525","2.3382322788238525","1.858464002609253","1.858464002609253","1.858464002609253"
"84000","3.9229185581207275","3.9229185581207275","3.9229185581207275","4.3952317237854","4.3952317237854","4.3952317237854","4.285492420196533","4.285492420196533","4.285492420196533","2.6816062927246094","2.6816062927246094","2.6816062927246094","2.1686792373657227","2.1686792373657227","2.1686792373657227"
"86000","3.9454617500305176","3.9454617500305176","3.9454617500305176","3.879530191421509","3.879530191421509","3.879530191421509","4.157747268676758","4.157747268676758","4.157747268676758","2.7297794818878174","2.7297794818878174","2.7297794818878174","2.0829713344573975","2.0829713344573975","2.0829713344573975"
"88000","3.8470115661621094","3.8470115661621094","3.8470115661621094","4.232721328735352","4.232721328735352","4.232721328735352","4.317722797393799","4.317722797393799","4.317722797393799","2.799036979675293","2.799036979675293","2.799036979675293","1.8629549741744995","1.8629549741744995","1.8629549741744995"
"90000","4.257535934448242","4.257535934448242","4.257535934448242","3.7893526554107666","3.7893526554107666","3.7893526554107666","4.039576530456543","4.039576530456543","4.039576530456543","2.23677396774292","2.23677396774292","2.23677396774292","2.1546072959899902","2.1546072959899902","2.1546072959899902"
"92000","4.721944808959961","4.721944808959961","4.721944808959961","4.165215015411377","4.165215015411377","4.165215015411377","4.424893856048584","4.424893856048584","4.424893856048584","2.3306212425231934","2.3306212425231934","2.3306212425231934","2.200871229171753","2.200871229171753","2.200871229171753"
"94000","4.338711261749268","4.338711261749268","4.338711261749268","4.049201965332031","4.049201965332031","4.049201965332031","4.6654558181762695","4.6654558181762695","4.6654558181762695","2.1879334449768066","2.1879334449768066","2.1879334449768066","2.1887764930725098","2.1887764930725098","2.1887764930725098"
"96000","4.468548774719238","4.468548774719238","4.468548774719238","3.6976218223571777","3.6976218223571777","3.6976218223571777","4.70989990234375","4.70989990234375","4.70989990234375","1.938342571258545","1.938342571258545","1.938342571258545","1.9731416702270508","1.9731416702270508","1.9731416702270508"
"98000","3.746986150741577","3.746986150741577","3.746986150741577","3.767979860305786","3.767979860305786","3.767979860305786","4.265448093414307","4.265448093414307","4.265448093414307","2.167767286300659","2.167767286300659","2.167767286300659","2.0240018367767334","2.0240018367767334","2.0240018367767334"
"100000","4.1172075271606445","4.1172075271606445","4.1172075271606445","3.5810134410858154","3.5810134410858154","3.5810134410858154","4.094379425048828","4.094379425048828","4.094379425048828","2.1229381561279297","2.1229381561279297","2.1229381561279297","2.296083927154541","2.296083927154541","2.296083927154541"
