
epoch: 100/150(66.67%), time: 0:05:12, loss: 0.0389
epoch: 101/150(67.33%), time: 0:05:15, loss: 0.0384
epoch: 102/150(68.00%), time: 0:05:18, loss: 0.0386
epoch: 103/150(68.67%), time: 0:05:21, loss: 0.0382
epoch: 104/150(69.33%), time: 0:05:24, loss: 0.0386
epoch: 105/150(70.00%), time: 0:05:28, loss: 0.0387
epoch: 106/150(70.67%), time: 0:05:31, loss: 0.0386
epoch: 107/150(71.33%), time: 0:05:34, loss: 0.0378
epoch: 108/150(72.00%), time: 0:05:37, loss: 0.0388
epoch: 109/150(72.67%), time: 0:05:40, loss: 0.0384
epoch: 110/150(73.33%), time: 0:05:43, loss: 0.0377
epoch: 111/150(74.00%), time: 0:05:46, loss: 0.0389
epoch: 112/150(74.67%), time: 0:05:49, loss: 0.0377
epoch: 113/150(75.33%), time: 0:05:52, loss: 0.0373
epoch: 114/150(76.00%), time: 0:05:56, loss: 0.0372
epoch: 115/150(76.67%), time: 0:05:59, loss: 0.0409
epoch: 116/150(77.33%), time: 0:06:02, loss: 0.0372
epoch: 117/150(78.00%), time: 0:06:05, loss: 0.0368
epoch: 118/150(78.67%), time: 0:06:08, loss: 0.0371
epoch: 119/150(79.33%), time: 0:06:11, loss: 0.0372
epoch: 120/150(80.00%), time: 0:06:14, loss: 0.0371
epoch: 121/150(80.67%), time: 0:06:17, loss: 0.0368
epoch: 122/150(81.33%), time: 0:06:20, loss: 0.0365
epoch: 123/150(82.00%), time: 0:06:24, loss: 0.0390
epoch: 124/150(82.67%), time: 0:06:27, loss: 0.0360
epoch: 125/150(83.33%), time: 0:06:30, loss: 0.0374
epoch: 126/150(84.00%), time: 0:06:33, loss: 0.0374
epoch: 127/150(84.67%), time: 0:06:36, loss: 0.0355
epoch: 128/150(85.33%), time: 0:06:39, loss: 0.0357
epoch: 129/150(86.00%), time: 0:06:42, loss: 0.0364
epoch: 130/150(86.67%), time: 0:06:45, loss: 0.0361
epoch: 131/150(87.33%), time: 0:06:48, loss: 0.0355
epoch: 132/150(88.00%), time: 0:06:52, loss: 0.0354
epoch: 133/150(88.67%), time: 0:06:55, loss: 0.0354
epoch: 134/150(89.33%), time: 0:06:58, loss: 0.0359
epoch: 135/150(90.00%), time: 0:07:01, loss: 0.0353
epoch: 136/150(90.67%), time: 0:07:04, loss: 0.0363
epoch: 137/150(91.33%), time: 0:07:07, loss: 0.0368
epoch: 138/150(92.00%), time: 0:07:10, loss: 0.0347
epoch: 139/150(92.67%), time: 0:07:13, loss: 0.0348
epoch: 140/150(93.33%), time: 0:07:16, loss: 0.0354
epoch: 141/150(94.00%), time: 0:07:20, loss: 0.0352
epoch: 142/150(94.67%), time: 0:07:23, loss: 0.0357
epoch: 143/150(95.33%), time: 0:07:26, loss: 0.0355
epoch: 144/150(96.00%), time: 0:07:29, loss: 0.0346
epoch: 145/150(96.67%), time: 0:07:32, loss: 0.0345
epoch: 146/150(97.33%), time: 0:07:35, loss: 0.0342
epoch: 147/150(98.00%), time: 0:07:38, loss: 0.0352
epoch: 148/150(98.67%), time: 0:07:41, loss: 0.0340
epoch: 149/150(99.33%), time: 0:07:45, loss: 0.0342
epoch: 150/150(100.00%), time: 0:07:48, loss: 0.0345
<module 'models.bagan' from '/home/dblab/git/ECOGAN/src/models/bagan.py'>
