
[AE] epoch: 52/150(34.67%), time: 0:01:40, loss: 0.06343484858671825, best epoch: 52, best loss: 0.06343484858671825
[AE] epoch: 53/150(35.33%), time: 0:01:41, loss: 0.06313725858926773, best epoch: 53, best loss: 0.06313725858926773
[AE] epoch: 54/150(36.00%), time: 0:01:43, loss: 0.06292606562376023, best epoch: 54, best loss: 0.06292606562376023
[AE] epoch: 55/150(36.67%), time: 0:01:44, loss: 0.06262438426415126, best epoch: 55, best loss: 0.06262438426415126
[AE] epoch: 56/150(37.33%), time: 0:01:45, loss: 0.06226780732472738, best epoch: 56, best loss: 0.06226780732472738
[AE] epoch: 57/150(38.00%), time: 0:01:47, loss: 0.06195698653658231, best epoch: 57, best loss: 0.06195698653658231
[AE] epoch: 58/150(38.67%), time: 0:01:48, loss: 0.061677181671063105, best epoch: 58, best loss: 0.061677181671063105
[AE] epoch: 59/150(39.33%), time: 0:01:50, loss: 0.061338132123152415, best epoch: 59, best loss: 0.061338132123152415
[AE] epoch: 60/150(40.00%), time: 0:01:51, loss: 0.06090066745877266, best epoch: 60, best loss: 0.06090066745877266
[AE] epoch: 61/150(40.67%), time: 0:01:52, loss: 0.060736528088649114, best epoch: 61, best loss: 0.060736528088649114
[AE] epoch: 62/150(41.33%), time: 0:01:54, loss: 0.060363440662622454, best epoch: 62, best loss: 0.060363440662622454
[AE] epoch: 63/150(42.00%), time: 0:01:55, loss: 0.060271547536055244, best epoch: 63, best loss: 0.060271547536055244
[AE] epoch: 64/150(42.67%), time: 0:01:56, loss: 0.05995406945546468, best epoch: 64, best loss: 0.05995406945546468
[AE] epoch: 65/150(43.33%), time: 0:01:58, loss: 0.05983288412292798, best epoch: 65, best loss: 0.05983288412292798
[AE] epoch: 66/150(44.00%), time: 0:01:59, loss: 0.05962151557207108, best epoch: 66, best loss: 0.05962151557207108
[AE] epoch: 67/150(44.67%), time: 0:02:01, loss: 0.0594452115893364, best epoch: 67, best loss: 0.0594452115893364
[AE] epoch: 68/150(45.33%), time: 0:02:02, loss: 0.059293498744567234, best epoch: 68, best loss: 0.059293498744567234
[AE] epoch: 69/150(46.00%), time: 0:02:03, loss: 0.0590992733836174, best epoch: 69, best loss: 0.0590992733836174
[AE] epoch: 70/150(46.67%), time: 0:02:05, loss: 0.05890042513608933, best epoch: 70, best loss: 0.05890042513608933
[AE] epoch: 71/150(47.33%), time: 0:02:06, loss: 0.05874042883515358, best epoch: 71, best loss: 0.05874042883515358
[AE] epoch: 72/150(48.00%), time: 0:02:07, loss: 0.05863642672697703, best epoch: 72, best loss: 0.05863642672697703
[AE] epoch: 73/150(48.67%), time: 0:02:09, loss: 0.05850688969095548, best epoch: 73, best loss: 0.05850688969095548
[AE] epoch: 74/150(49.33%), time: 0:02:10, loss: 0.05835562696059545, best epoch: 74, best loss: 0.05835562696059545
[AE] epoch: 75/150(50.00%), time: 0:02:12, loss: 0.05825156256556511, best epoch: 75, best loss: 0.05825156256556511
[AE] epoch: 76/150(50.67%), time: 0:02:13, loss: 0.05808282335599264, best epoch: 76, best loss: 0.05808282335599264
[AE] epoch: 77/150(51.33%), time: 0:02:14, loss: 0.05800154050191243, best epoch: 77, best loss: 0.05800154050191243
[AE] epoch: 78/150(52.00%), time: 0:02:16, loss: 0.05767350246508916, best epoch: 78, best loss: 0.05767350246508916
[AE] epoch: 79/150(52.67%), time: 0:02:17, loss: 0.05750530193249385, best epoch: 79, best loss: 0.05750530193249385
[AE] epoch: 80/150(53.33%), time: 0:02:18, loss: 0.05734796181321144, best epoch: 80, best loss: 0.05734796181321144
[AE] epoch: 81/150(54.00%), time: 0:02:20, loss: 0.0571521074573199, best epoch: 81, best loss: 0.0571521074573199
[AE] epoch: 82/150(54.67%), time: 0:02:21, loss: 0.056955608675877255, best epoch: 82, best loss: 0.056955608675877255
[AE] epoch: 83/150(55.33%), time: 0:02:23, loss: 0.05683421184619268, best epoch: 83, best loss: 0.05683421184619268
[AE] epoch: 84/150(56.00%), time: 0:02:24, loss: 0.056709658453861875, best epoch: 84, best loss: 0.056709658453861875
[AE] epoch: 85/150(56.67%), time: 0:02:25, loss: 0.05660729110240936, best epoch: 85, best loss: 0.05660729110240936
[AE] epoch: 86/150(57.33%), time: 0:02:27, loss: 0.056458388964335124, best epoch: 86, best loss: 0.056458388964335124
[AE] epoch: 87/150(58.00%), time: 0:02:28, loss: 0.056353546331326165, best epoch: 87, best loss: 0.056353546331326165
[AE] epoch: 88/150(58.67%), time: 0:02:29, loss: 0.05615282386541367, best epoch: 88, best loss: 0.05615282386541367
[AE] epoch: 89/150(59.33%), time: 0:02:31, loss: 0.05602627873420715, best epoch: 89, best loss: 0.05602627873420715
[AE] epoch: 90/150(60.00%), time: 0:02:32, loss: 0.0557741495470206, best epoch: 90, best loss: 0.0557741495470206
[AE] epoch: 91/150(60.67%), time: 0:02:33, loss: 0.05563492953777313, best epoch: 91, best loss: 0.05563492953777313
[AE] epoch: 92/150(61.33%), time: 0:02:35, loss: 0.05553543130556742, best epoch: 92, best loss: 0.05553543130556742
[AE] epoch: 93/150(62.00%), time: 0:02:36, loss: 0.055298983454704284, best epoch: 93, best loss: 0.055298983454704284
[AE] epoch: 94/150(62.67%), time: 0:02:38, loss: 0.055251177201668424, best epoch: 94, best loss: 0.055251177201668424
[AE] epoch: 95/150(63.33%), time: 0:02:39, loss: 0.05510680625836054, best epoch: 95, best loss: 0.05510680625836054
[AE] epoch: 96/150(64.00%), time: 0:02:40, loss: 0.05500730926791827, best epoch: 96, best loss: 0.05500730926791827
[AE] epoch: 97/150(64.67%), time: 0:02:42, loss: 0.05492478971680005, best epoch: 97, best loss: 0.05492478971680005
[AE] epoch: 98/150(65.33%), time: 0:02:43, loss: 0.05477086767554283, best epoch: 98, best loss: 0.05477086767554283
[AE] epoch: 99/150(66.00%), time: 0:02:44, loss: 0.05466333856185277, best epoch: 99, best loss: 0.05466333856185277
[AE] epoch: 100/150(66.67%), time: 0:02:46, loss: 0.054580887208382285, best epoch: 100, best loss: 0.054580887208382285
[AE] epoch: 101/150(67.33%), time: 0:02:47, loss: 0.05436270073056221, best epoch: 101, best loss: 0.05436270073056221
[AE] epoch: 102/150(68.00%), time: 0:02:48, loss: 0.0543789803981781, best epoch: 101, best loss: 0.05436270073056221
[AE] epoch: 103/150(68.67%), time: 0:02:50, loss: 0.054238431950410206, best epoch: 103, best loss: 0.054238431950410206
[AE] epoch: 104/150(69.33%), time: 0:02:51, loss: 0.05410196756323179, best epoch: 104, best loss: 0.05410196756323179
[AE] epoch: 105/150(70.00%), time: 0:02:53, loss: 0.0540516242881616, best epoch: 105, best loss: 0.0540516242881616
[AE] epoch: 106/150(70.67%), time: 0:02:54, loss: 0.05398805474241575, best epoch: 106, best loss: 0.05398805474241575
[AE] epoch: 107/150(71.33%), time: 0:02:55, loss: 0.053866115361452103, best epoch: 107, best loss: 0.053866115361452103
[AE] epoch: 108/150(72.00%), time: 0:02:57, loss: 0.05383978009223938, best epoch: 108, best loss: 0.05383978009223938
[AE] epoch: 109/150(72.67%), time: 0:02:58, loss: 0.05368014802535375, best epoch: 109, best loss: 0.05368014802535375
[AE] epoch: 110/150(73.33%), time: 0:02:59, loss: 0.05368400737643242, best epoch: 109, best loss: 0.05368014802535375
[AE] epoch: 111/150(74.00%), time: 0:03:01, loss: 0.053607798914114636, best epoch: 111, best loss: 0.053607798914114636
[AE] epoch: 112/150(74.67%), time: 0:03:02, loss: 0.05337752655148506, best epoch: 112, best loss: 0.05337752655148506
[AE] epoch: 113/150(75.33%), time: 0:03:03, loss: 0.053411829074223836, best epoch: 112, best loss: 0.05337752655148506
[AE] epoch: 114/150(76.00%), time: 0:03:05, loss: 0.053243760218222934, best epoch: 114, best loss: 0.053243760218222934
[AE] epoch: 115/150(76.67%), time: 0:03:06, loss: 0.05312694768110911, best epoch: 115, best loss: 0.05312694768110911
[AE] epoch: 116/150(77.33%), time: 0:03:07, loss: 0.05301469330986341, best epoch: 116, best loss: 0.05301469330986341
[AE] epoch: 117/150(78.00%), time: 0:03:09, loss: 0.05296446700890859, best epoch: 117, best loss: 0.05296446700890859
[AE] epoch: 118/150(78.67%), time: 0:03:10, loss: 0.05295857523878415, best epoch: 118, best loss: 0.05295857523878415
[AE] epoch: 119/150(79.33%), time: 0:03:12, loss: 0.052709628095229465, best epoch: 119, best loss: 0.052709628095229465
[AE] epoch: 120/150(80.00%), time: 0:03:13, loss: 0.05266086384654045, best epoch: 120, best loss: 0.05266086384654045
[AE] epoch: 121/150(80.67%), time: 0:03:14, loss: 0.052470774451891584, best epoch: 121, best loss: 0.052470774451891584
[AE] epoch: 122/150(81.33%), time: 0:03:16, loss: 0.05240497584144274, best epoch: 122, best loss: 0.05240497584144274
[AE] epoch: 123/150(82.00%), time: 0:03:17, loss: 0.05241772418220838, best epoch: 122, best loss: 0.05240497584144274
[AE] epoch: 124/150(82.67%), time: 0:03:18, loss: 0.05228170931339264, best epoch: 124, best loss: 0.05228170931339264
[AE] epoch: 125/150(83.33%), time: 0:03:20, loss: 0.052267870058616, best epoch: 125, best loss: 0.052267870058616
[AE] epoch: 126/150(84.00%), time: 0:03:21, loss: 0.05221102863550186, best epoch: 126, best loss: 0.05221102863550186
[AE] epoch: 127/150(84.67%), time: 0:03:23, loss: 0.05209509198864301, best epoch: 127, best loss: 0.05209509198864301
[AE] epoch: 128/150(85.33%), time: 0:03:24, loss: 0.051941848198572796, best epoch: 128, best loss: 0.051941848198572796
[AE] epoch: 129/150(86.00%), time: 0:03:25, loss: 0.05185861294468244, best epoch: 129, best loss: 0.05185861294468244
[AE] epoch: 130/150(86.67%), time: 0:03:27, loss: 0.05181816274921099, best epoch: 130, best loss: 0.05181816274921099
[AE] epoch: 131/150(87.33%), time: 0:03:28, loss: 0.051702615171670914, best epoch: 131, best loss: 0.051702615171670914
[AE] epoch: 132/150(88.00%), time: 0:03:29, loss: 0.0515939344962438, best epoch: 132, best loss: 0.0515939344962438
